Week_end,Indicator,High_industry,Value
2019-08-18,Number of paid jobs - 6 days,B Goods Producing,249910
2019-08-18,Number of paid jobs - 6 days,C Services,497180
2019-08-18,Number of paid jobs - 6 days,Z No Match,16550
2019-08-25,Number of paid jobs - 34 days,Total,2145780
2019-08-25,Number of paid jobs - 34 days,A Primary,91990
2019-08-25,Number of paid jobs - 34 days,B Goods Producing,402040
2019-08-25,Number of paid jobs - 34 days,C Services,1619840
2019-08-25,Number of paid jobs - 34 days,Z No Match,31910
2019-08-25,Number of paid jobs - 20 days,Total,1889700
2019-08-25,Number of paid jobs - 20 days,A Primary,78600
2019-08-25,Number of paid jobs - 20 days,B Goods Producing,342760
2019-08-25,Number of paid jobs - 20 days,C Services,1441220
2019-08-25,Number of paid jobs - 20 days,Z No Match,27120
2019-08-25,Number of paid jobs - 6 days,Total,796980
2019-08-25,Number of paid jobs - 6 days,A Primary,37190
2019-08-25,Number of paid jobs - 6 days,B Goods Producing,252880
2019-08-25,Number of paid jobs - 6 days,C Services,491010
2019-08-25,Number of paid jobs - 6 days,Z No Match,15900
2019-09-01,Number of paid jobs - 34 days,Total,2142950
2019-09-01,Number of paid jobs - 34 days,A Primary,92840
2019-09-01,Number of paid jobs - 34 days,B Goods Producing,403430
2019-09-01,Number of paid jobs - 34 days,C Services,1611940
2019-09-01,Number of paid jobs - 34 days,Z No Match,34740
2019-09-01,Number of paid jobs - 20 days,Total,1877380
2019-09-01,Number of paid jobs - 20 days,A Primary,78470
2019-09-01,Number of paid jobs - 20 days,B Goods Producing,343150
2019-09-01,Number of paid jobs - 20 days,C Services,1426340
2019-09-01,Number of paid jobs - 20 days,Z No Match,29420
2019-09-01,Number of paid jobs - 6 days,Total,808180
2019-09-01,Number of paid jobs - 6 days,A Primary,36020
2019-09-01,Number of paid jobs - 6 days,B Goods Producing,251240
2019-09-01,Number of paid jobs - 6 days,C Services,502530
2019-09-01,Number of paid jobs - 6 days,Z No Match,18390
2019-09-08,Number of paid jobs - 34 days,Total,2108820
2019-09-08,Number of paid jobs - 34 days,A Primary,92050
2019-09-08,Number of paid jobs - 34 days,B Goods Producing,400160
2019-09-08,Number of paid jobs - 34 days,C Services,1585680
2019-09-08,Number of paid jobs - 34 days,Z No Match,30920
2019-09-08,Number of paid jobs - 20 days,Total,1856420
2019-09-08,Number of paid jobs - 20 days,A Primary,78870
2019-09-08,Number of paid jobs - 20 days,B Goods Producing,343440
2019-09-08,Number of paid jobs - 20 days,C Services,1407590
2019-09-08,Number of paid jobs - 20 days,Z No Match,26520
2019-09-08,Number of paid jobs - 6 days,Total,786700
2019-09-08,Number of paid jobs - 6 days,A Primary,35920
2019-09-08,Number of paid jobs - 6 days,B Goods Producing,251530
2019-09-08,Number of paid jobs - 6 days,C Services,482870
2019-09-08,Number of paid jobs - 6 days,Z No Match,16380
2019-09-15,Number of paid jobs - 34 days,Total,2116540
2019-09-15,Number of paid jobs - 34 days,A Primary,93400
2019-09-15,Number of paid jobs - 34 days,B Goods Producing,401400
2019-09-15,Number of paid jobs - 34 days,C Services,1591690
2019-09-15,Number of paid jobs - 34 days,Z No Match,30050
2019-09-15,Number of paid jobs - 20 days,Total,1852980
2019-09-15,Number of paid jobs - 20 days,A Primary,76750
2019-09-15,Number of paid jobs - 20 days,B Goods Producing,343870
2019-09-15,Number of paid jobs - 20 days,C Services,1407230
2019-09-15,Number of paid jobs - 20 days,Z No Match,25130
2019-09-15,Number of paid jobs - 6 days,Total,788900
2019-09-15,Number of paid jobs - 6 days,A Primary,33850
2019-09-15,Number of paid jobs - 6 days,B Goods Producing,253160
2019-09-15,Number of paid jobs - 6 days,C Services,487160
2019-09-15,Number of paid jobs - 6 days,Z No Match,14730
2019-09-22,Number of paid jobs - 34 days,Total,2145120
2019-09-22,Number of paid jobs - 34 days,A Primary,94590
2019-09-22,Number of paid jobs - 34 days,B Goods Producing,403780
2019-09-22,Number of paid jobs - 34 days,C Services,1616440
2019-09-22,Number of paid jobs - 34 days,Z No Match,30310
2019-09-22,Number of paid jobs - 20 days,Total,1853970
2019-09-22,Number of paid jobs - 20 days,A Primary,75730
2019-09-22,Number of paid jobs - 20 days,B Goods Producing,344160
2019-09-22,Number of paid jobs - 20 days,C Services,1408970
2019-09-22,Number of paid jobs - 20 days,Z No Match,25110
2019-09-22,Number of paid jobs - 6 days,Total,781470
2019-09-22,Number of paid jobs - 6 days,A Primary,32360
2019-09-22,Number of paid jobs - 6 days,B Goods Producing,251440
2019-09-22,Number of paid jobs - 6 days,C Services,483460
2019-09-22,Number of paid jobs - 6 days,Z No Match,14200
2019-09-29,Number of paid jobs - 34 days,Total,2127060
2019-09-29,Number of paid jobs - 34 days,A Primary,93460
2019-09-29,Number of paid jobs - 34 days,B Goods Producing,403360
2019-09-29,Number of paid jobs - 34 days,C Services,1599260
2019-09-29,Number of paid jobs - 34 days,Z No Match,30970
2019-09-29,Number of paid jobs - 20 days,Total,1841710
2019-09-29,Number of paid jobs - 20 days,A Primary,74850
2019-09-29,Number of paid jobs - 20 days,B Goods Producing,343820
2019-09-29,Number of paid jobs - 20 days,C Services,1397250
2019-09-29,Number of paid jobs - 20 days,Z No Match,25790
2019-09-29,Number of paid jobs - 6 days,Total,782680
2019-09-29,Number of paid jobs - 6 days,A Primary,30930
2019-09-29,Number of paid jobs - 6 days,B Goods Producing,252120
2019-09-29,Number of paid jobs - 6 days,C Services,485080
2019-09-29,Number of paid jobs - 6 days,Z No Match,14550
2019-10-06,Number of paid jobs - 34 days,Total,2160420
2019-10-06,Number of paid jobs - 34 days,A Primary,95200
2019-10-06,Number of paid jobs - 34 days,B Goods Producing,407000
2019-10-06,Number of paid jobs - 34 days,C Services,1622670
2019-10-06,Number of paid jobs - 34 days,Z No Match,35540
2019-10-06,Number of paid jobs - 20 days,Total,1876640
2019-10-06,Number of paid jobs - 20 days,A Primary,75760
2019-10-06,Number of paid jobs - 20 days,B Goods Producing,346360
2019-10-06,Number of paid jobs - 20 days,C Services,1426360
2019-10-06,Number of paid jobs - 20 days,Z No Match,28150
2019-10-06,Number of paid jobs - 6 days,Total,786860
2019-10-06,Number of paid jobs - 6 days,A Primary,31560
2019-10-06,Number of paid jobs - 6 days,B Goods Producing,253000
2019-10-06,Number of paid jobs - 6 days,C Services,485570
2019-10-06,Number of paid jobs - 6 days,Z No Match,16730
2019-10-13,Number of paid jobs - 34 days,Total,2156540
2019-10-13,Number of paid jobs - 34 days,A Primary,95070
2019-10-13,Number of paid jobs - 34 days,B Goods Producing,404760
2019-10-13,Number of paid jobs - 34 days,C Services,1626050
2019-10-13,Number of paid jobs - 34 days,Z No Match,30660
2019-10-13,Number of paid jobs - 20 days,Total,1885780
2019-10-13,Number of paid jobs - 20 days,A Primary,77260
2019-10-13,Number of paid jobs - 20 days,B Goods Producing,347180
2019-10-13,Number of paid jobs - 20 days,C Services,1438300
2019-10-13,Number of paid jobs - 20 days,Z No Match,23040
2019-10-13,Number of paid jobs - 6 days,Total,789630
2019-10-13,Number of paid jobs - 6 days,A Primary,32640
2019-10-13,Number of paid jobs - 6 days,B Goods Producing,255920
2019-10-13,Number of paid jobs - 6 days,C Services,488040
2019-10-13,Number of paid jobs - 6 days,Z No Match,13020
2019-10-20,Number of paid jobs - 34 days,Total,2165290
2019-10-20,Number of paid jobs - 34 days,A Primary,97720
2019-10-20,Number of paid jobs - 34 days,B Goods Producing,406350
2019-10-20,Number of paid jobs - 34 days,C Services,1629980
2019-10-20,Number of paid jobs - 34 days,Z No Match,31230
2019-10-20,Number of paid jobs - 20 days,Total,1899370
2019-10-20,Number of paid jobs - 20 days,A Primary,79040
2019-10-20,Number of paid jobs - 20 days,B Goods Producing,346540
2019-10-20,Number of paid jobs - 20 days,C Services,1452760
2019-10-20,Number of paid jobs - 20 days,Z No Match,21030
2019-10-20,Number of paid jobs - 6 days,Total,794240
2019-10-20,Number of paid jobs - 6 days,A Primary,34200
2019-10-20,Number of paid jobs - 6 days,B Goods Producing,255880
2019-10-20,Number of paid jobs - 6 days,C Services,493220
2019-10-20,Number of paid jobs - 6 days,Z No Match,10950
2019-10-27,Number of paid jobs - 34 days,Total,2168890
2019-10-27,Number of paid jobs - 34 days,A Primary,99080
2019-10-27,Number of paid jobs - 34 days,B Goods Producing,406540
2019-10-27,Number of paid jobs - 34 days,C Services,1633950
2019-10-27,Number of paid jobs - 34 days,Z No Match,29320
2019-10-27,Number of paid jobs - 20 days,Total,1903550
2019-10-27,Number of paid jobs - 20 days,A Primary,80190
2019-10-27,Number of paid jobs - 20 days,B Goods Producing,347790
2019-10-27,Number of paid jobs - 20 days,C Services,1452080
2019-10-27,Number of paid jobs - 20 days,Z No Match,23480
2019-10-27,Number of paid jobs - 6 days,Total,793190
2019-10-27,Number of paid jobs - 6 days,A Primary,34420
2019-10-27,Number of paid jobs - 6 days,B Goods Producing,257410
2019-10-27,Number of paid jobs - 6 days,C Services,492460
2019-10-27,Number of paid jobs - 6 days,Z No Match,8900
2019-11-03,Number of paid jobs - 34 days,Total,2196180
2019-11-03,Number of paid jobs - 34 days,A Primary,102680
2019-11-03,Number of paid jobs - 34 days,B Goods Producing,413050
2019-11-03,Number of paid jobs - 34 days,C Services,1648210
2019-11-03,Number of paid jobs - 34 days,Z No Match,32240
2019-11-03,Number of paid jobs - 20 days,Total,1924520
2019-11-03,Number of paid jobs - 20 days,A Primary,82440
2019-11-03,Number of paid jobs - 20 days,B Goods Producing,351330
2019-11-03,Number of paid jobs - 20 days,C Services,1464650
2019-11-03,Number of paid jobs - 20 days,Z No Match,26100
2019-11-03,Number of paid jobs - 6 days,Total,795490
2019-11-03,Number of paid jobs - 6 days,A Primary,35410
2019-11-03,Number of paid jobs - 6 days,B Goods Producing,256470
2019-11-03,Number of paid jobs - 6 days,C Services,493430
2019-11-03,Number of paid jobs - 6 days,Z No Match,10170
2019-11-10,Number of paid jobs - 34 days,Total,2200540
2019-11-10,Number of paid jobs - 34 days,A Primary,103430
2019-11-10,Number of paid jobs - 34 days,B Goods Producing,412480
2019-11-10,Number of paid jobs - 34 days,C Services,1653150
2019-11-10,Number of paid jobs - 34 days,Z No Match,31490
2019-11-10,Number of paid jobs - 20 days,Total,1934570
2019-11-10,Number of paid jobs - 20 days,A Primary,85050
2019-11-10,Number of paid jobs - 20 days,B Goods Producing,353690
2019-11-10,Number of paid jobs - 20 days,C Services,1475870
2019-11-10,Number of paid jobs - 20 days,Z No Match,19960
2019-11-10,Number of paid jobs - 6 days,Total,815290
2019-11-10,Number of paid jobs - 6 days,A Primary,37730
2019-11-10,Number of paid jobs - 6 days,B Goods Producing,257030
2019-11-10,Number of paid jobs - 6 days,C Services,510360
2019-11-10,Number of paid jobs - 6 days,Z No Match,10180
2019-11-17,Number of paid jobs - 34 days,Total,2222370
2019-11-17,Number of paid jobs - 34 days,A Primary,106760
2019-11-17,Number of paid jobs - 34 days,B Goods Producing,416030
2019-11-17,Number of paid jobs - 34 days,C Services,1665950
2019-11-17,Number of paid jobs - 34 days,Z No Match,33620
2019-11-17,Number of paid jobs - 20 days,Total,1948390
2019-11-17,Number of paid jobs - 20 days,A Primary,87270
2019-11-17,Number of paid jobs - 20 days,B Goods Producing,356330
2019-11-17,Number of paid jobs - 20 days,C Services,1484330
2019-11-17,Number of paid jobs - 20 days,Z No Match,20460
2019-11-17,Number of paid jobs - 6 days,Total,807380
2019-11-17,Number of paid jobs - 6 days,A Primary,38940
2019-11-17,Number of paid jobs - 6 days,B Goods Producing,258930
2019-11-17,Number of paid jobs - 6 days,C Services,498860
2019-11-17,Number of paid jobs - 6 days,Z No Match,10640
2019-11-24,Number of paid jobs - 34 days,Total,2239740
2019-11-24,Number of paid jobs - 34 days,A Primary,109720
2019-11-24,Number of paid jobs - 34 days,B Goods Producing,419380
2019-11-24,Number of paid jobs - 34 days,C Services,1674420
2019-11-24,Number of paid jobs - 34 days,Z No Match,36220
2019-11-24,Number of paid jobs - 20 days,Total,1960690
2019-11-24,Number of paid jobs - 20 days,A Primary,89830
2019-11-24,Number of paid jobs - 20 days,B Goods Producing,359740
2019-11-24,Number of paid jobs - 20 days,C Services,1485310
2019-11-24,Number of paid jobs - 20 days,Z No Match,25810
2019-11-24,Number of paid jobs - 6 days,Total,806530
2019-11-24,Number of paid jobs - 6 days,A Primary,41150
2019-11-24,Number of paid jobs - 6 days,B Goods Producing,260360
2019-11-24,Number of paid jobs - 6 days,C Services,493140
2019-11-24,Number of paid jobs - 6 days,Z No Match,11880
2019-12-01,Number of paid jobs - 34 days,Total,2242450
2019-12-01,Number of paid jobs - 34 days,A Primary,112090
2019-12-01,Number of paid jobs - 34 days,B Goods Producing,422140
2019-12-01,Number of paid jobs - 34 days,C Services,1671130
2019-12-01,Number of paid jobs - 34 days,Z No Match,37090
2019-12-01,Number of paid jobs - 20 days,Total,1979180
2019-12-01,Number of paid jobs - 20 days,A Primary,91990
2019-12-01,Number of paid jobs - 20 days,B Goods Producing,362260
2019-12-01,Number of paid jobs - 20 days,C Services,1492830
2019-12-01,Number of paid jobs - 20 days,Z No Match,32100
2019-12-01,Number of paid jobs - 6 days,Total,816200
2019-12-01,Number of paid jobs - 6 days,A Primary,42140
2019-12-01,Number of paid jobs - 6 days,B Goods Producing,261150
2019-12-01,Number of paid jobs - 6 days,C Services,502970
2019-12-01,Number of paid jobs - 6 days,Z No Match,9950
2019-12-08,Number of paid jobs - 34 days,Total,2251260
2019-12-08,Number of paid jobs - 34 days,A Primary,110810
2019-12-08,Number of paid jobs - 34 days,B Goods Producing,419510
2019-12-08,Number of paid jobs - 34 days,C Services,1683510
2019-12-08,Number of paid jobs - 34 days,Z No Match,37430
2019-12-08,Number of paid jobs - 20 days,Total,1985460
2019-12-08,Number of paid jobs - 20 days,A Primary,92720
2019-12-08,Number of paid jobs - 20 days,B Goods Producing,362260
